class,top1,top5
accident_car,21.05263157894737,63.1578947368421
accident_stretcher,0.0,40.0
accident_train,85.71428571428571,100.0
aerial,60.0,80.0
amphitheater,50.0,100.0
animals_cow,0.0,50.0
animals_dog,20.0,60.0
animals_horse,46.666666666666664,80.0
animals_misc,42.10526315789474,84.21052631578948
artwork,40.0,90.0
auditorium,52.38095238095238,90.47619047619048
bakery,57.142857142857146,85.71428571428571
bar,50.0,79.16666666666667
baseball,83.33333333333333,94.44444444444444
basketball,100.0,100.0
beach,59.45945945945946,89.1891891891892
beauty_salon,0.0,0.0
bicycles,61.53846153846154,92.3076923076923
boat_deck,16.666666666666668,58.333333333333336
boats,73.46938775510205,93.87755102040816
bookstore_library,72.72727272727273,100.0
bridge,50.0,75.0
building_facade,77.77777777777777,95.55555555555556
bus_truck,69.23076923076923,88.46153846153847
butchers_shop,12.5,50.0
canal,37.5,75.0
car,36.36363636363637,90.9090909090909
car_shop,62.5,75.0
catwalk,50.0,50.0
cemetery,33.333333333333336,50.0
ceremony,50.0,96.15384615384616
chess_checkers,72.22222222222223,88.88888888888889
church_indoor,64.70588235294117,88.23529411764706
church_outdoor,69.23076923076923,100.0
circus,86.66666666666667,93.33333333333333
city_hall_stairs,75.0,100.0
classroom,50.0,90.0
clergy,5.2631578947368425,42.10526315789474
construction_site,87.32394366197182,100.0
cricket,100.0,100.0
crowd,54.34782608695652,84.78260869565217
cycling,25.0,50.0
dancing,26.923076923076923,61.53846153846154
dining_room,75.0,96.42857142857143
driveway,33.333333333333336,66.66666666666667
dunes,30.0,90.0
excavation,40.0,80.0
exhibition,38.70967741935484,70.96774193548387
factory_indoor,51.42857142857143,85.71428571428571
farm_field,50.0,83.33333333333333
field_hockey,50.0,100.0
fire,77.41935483870968,96.7741935483871
fishery,25.0,50.0
flag,28.571428571428573,57.142857142857146
flowers,85.0,90.0
forest:park,62.5,81.25
funeral,0.0,0.0
gymnastics,57.142857142857146,85.71428571428571
handshake,46.875,87.5
harbor,51.724137931034484,100.0
historical_plays,45.45454545454545,72.72727272727273
hospital,63.63636363636363,90.9090909090909
ice_skating,50.0,75.0
kitchen,28.571428571428573,85.71428571428571
living_room,50.0,83.33333333333333
mansion,80.0,100.0
market_indoor,18.181818181818183,63.63636363636363
market_outdoor,46.15384615384615,76.92307692307692
marriage,11.11111111111111,55.55555555555556
meeting_room,29.41176470588235,94.11764705882354
memorial,41.1764705882353,88.23529411764706
military,25.0,66.66666666666667
motorcycle,0.0,0.0
music_performance,44.44444444444444,88.88888888888889
office,66.66666666666667,80.95238095238095
parade,25.0,60.0
parade_floats,42.857142857142854,85.71428571428571
patio,25.0,100.0
playground,75.0,75.0
pond,66.66666666666667,100.0
portrait_child,25.0,50.0
portrait_children,0.0,54.54545454545455
portrait_group,50.617283950617285,86.41975308641975
portrait_individual,78.43137254901961,92.15686274509804
protest,50.0,71.42857142857143
racecourse,60.0,70.0
residential_neighborhood,28.94736842105263,86.84210526315789
rowing,55.55555555555556,100.0
running,0.0,20.0
saint_niclaus,50.0,86.36363636363636
shed,28.571428571428573,71.42857142857143
ship_yard,14.285714285714286,85.71428571428571
shop_interior,80.0,92.0
shopfront,43.75,100.0
shopping_street,33.333333333333336,77.77777777777777
sign,50.0,100.0
snow_field,83.33333333333333,94.44444444444444
soapbox_race,83.33333333333333,83.33333333333333
soccer,93.82716049382717,95.06172839506173
soccer_indoor,75.0,100.0
soccer_team,86.66666666666667,100.0
speech,30.0,75.0
statue,21.05263157894737,47.36842105263158
street,60.526315789473685,92.10526315789474
swimming_pool_indoor,84.61538461538461,92.3076923076923
swimming_pool_outdoor,77.77777777777777,88.88888888888889
theatre,47.61904761904762,61.904761904761905
tower,23.076923076923077,69.23076923076923
train,0.0,50.0
train_station,80.0,100.0
tram,0.0,100.0
volley_ball,83.33333333333333,100.0
water_ski,87.5,87.5
waterfront,18.181818181818183,72.72727272727273
windmill,66.66666666666667,100.0
